
Wikinews	organization
still	abstract
will	abstract
contain	abstract
lots	abstract
of	abstract
rainfall	abstract
making	abstract
flooding	abstract
an	abstract
almost	abstract
certainty	abstract
.	abstract

File	object
photo	object
of	object
interviewee	object
R	object
Saravanan	object
.	O

Image	object
:	O
R	person
Saravanan	person
.	O

A	event
previous	event
cyclone	event
in	event
1999	event
in	event
the	event
Bay	event
of	event
Bengal	event
area	event
of	event
India	event
left	O
10,000	person
people	person
dead	O
.	O

Is	abstract
the	abstract
Indian	abstract
government	abstract
well	abstract
prepared	abstract
to	abstract
deal	abstract
with	abstract
this	abstract
cyclone	abstract
?	abstract

I	person
have	O
not	O
followed	O
that	abstract
aspect	abstract
of	abstract
the	abstract
societal	abstract
response	abstract
for	abstract
the	abstract
present	abstract
storm	abstract
.	O

However	O
,	O
historically	O
,	O
there	O
have	O
been	O
several	event
events	event
that	O
should	O
cause	O
a	abstract
societal	abstract
response	abstract
.	O

Hopefully	O
,	O
we	person
all	person
learn	O
from	O
past	abstract
mistakes	abstract
.	O

The	abstract
history	abstract
of	abstract
strong	abstract
cyclones	abstract
and	abstract
death	abstract
in	abstract
the	abstract
region	abstract
is	O
notable	O
,	O
with	O
at	event
least	event
5	event
large	event
cyclone	event
events	event
in	event
the	event
past	event
35	event
years	event
with	event
10,000	event
and	event
as	event
many	event
as	event
300,000	event
people	event
killed	event
,	O
millions	person
left	O
homeless	O
and	O
estimated	abstract
damages	abstract
as	O
high	O
as	O
US$	quantity
10	quantity
billion	quantity
.	O

I	person
do	O
n't	O
have	O
enough	abstract
information	abstract
to	O
answer	O
this	abstract
question	abstract
,	O
one	O
way	O
or	O
the	O
other	O
.	O

From	O
all	abstract
the	abstract
press	abstract
reports	abstract
that	O
I	person
have	O
read	O
,	O
the	organization
Indian	organization
government	organization
appears	O
to	O
have	O
taken	O
the	abstract
threat	abstract
of	abstract
Cyclone	abstract
Phailin	abstract
very	O
seriously	O
indeed	O
.	O

The	organization
government	organization
has	O
been	O
much	O
more	O
pro-active	O
in	O
preparing	O
for	O
this	event
cyclone	event
than	O
in	O
the	time
past	time
.	O

The	abstract
forecasts	abstract
of	abstract
cyclone	abstract
track	abstract
and	abstract
intensity	abstract
have	O
been	O
fairly	O
accurate	O
.	O

Mandatory	event
mass	event
evacuations	event
have	O
been	O
carried	O
out	O
,	O
which	O
is	O
essential	O
to	O
minimize	O
loss	event
of	event
life	event
in	event
these	event
situations	event
.	O

Unfortunately	O
,	O
extensive	abstract
property	abstract
damage	abstract
is	O
bound	O
to	O
occur	O
even	O
with	O
the	abstract
best	abstract
preparation	abstract
.	O

My	abstract
knowledge	abstract
of	abstract
the	abstract
responsiveness	abstract
of	abstract
the	abstract
Indian	abstract
government	abstract
to	abstract
this	abstract
storm	abstract
is	O
purely	O
from	O
the	place
cyber	place
space	place
.	O

I	person
heard	O
that	O
they	organization
orchestrated	O
the	event
largest	event
people	event
evacuation	event
to	event
a	event
natural	event
disaster	event
in	event
Indian	event
history	event
.	O

This	event
shall	O
be	O
applauded	O
given	O
the	abstract
size	abstract
and	abstract
strength	abstract
of	abstract
Phailin	abstract
.	O

I	person
visited	O
the	place
damaged	place
area	place
of	place
the	place
1999	place
storm	place
near	place
Bhubaneshwar	place
in	O
the	time
summer	time
of	time
2012	time
for	O
an	event
invited	event
symposium	event
and	event
summer	event
school	event
on	event
tropical	event
cyclones	event
[	O
...	O
]	O
sponsored	O
by	O
the	organization
Indian	organization
government	organization
.	O

Given	O
the	abstract
living	abstract
standard	abstract
and	abstract
residence	abstract
of	abstract
people	abstract
living	O
near	O
the	place
coastal	place
areas	place
in	place
this	place
region	place
,	O
the	event
evacuation	event
is	O
certainly	O
necessary	O
and	O
essential	O
to	O
save	O
lives	abstract
.	O

I	person
cannot	O
comment	O
directly	O
on	O
how	O
the	organization
Indian	organization
government	organization
was	O
prepared	O
for	O
this	event
cyclone	event
.	O

However	O
,	O
the	O
news	abstract
reports	abstract
(	O
BBC	organization
etc.	O
)	O
were	O
very	O
encouraging	O
in	O
that	O
the	organization
authorities	organization
were	O
reportedly	O
making	O
strenuous	abstract
efforts	abstract
to	O
evacuate	O
the	person
population	person
from	O
near	place
the	place
coast	place
and	place
areas	place
that	O
are	O
prone	O
to	O
flooding	event
.	O

Water	substance
is	O
the	abstract
main	abstract
killer	abstract
in	abstract
these	abstract
storms	abstract
.	O

From	O
all	abstract
reports	abstract
that	O
I	person
have	O
seen	O
,	O
the	organization
government	organization
was	O
well	O
prepared	O
for	O
this	event
cyclone	event
.	O
